Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
2013 Honda Jazz 1.5 i-VTEC Hatchback - (A) 72K KM ONLY - MODULO BODYKIT -,RM 451 / month,"RM 34,800",Honda Jazz,70 - 75K KM,Automatic,"Selangor, Klang"
2018 Perodua Myvi 1.5 AV Hatchback,RM 607 / month,"RM 46,800",Perodua Myvi,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2014 Honda Odyssey 2.4 EX i-VTEC MPV - ABSOLUTE (A) Sun Roof 360 Camera,"RM 1,112 / month","RM 85,800",Honda Odyssey,90 - 95K KM,Automatic,"Selangor, Serdang"
2018 Mazda CX-5 2.5 SKYACTIV-G GLS SUV,"RM 1,281 / month","RM 98,800",Mazda CX-5,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2016 Toyota Camry 2.5 Hybrid Luxury Sedan - Super Car King 3 Years Warranty,RM 946 / month,"RM 72,999",Toyota Camry,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2017 Volkswagen Passat 1.8 280 TSI Comfortline Plus Sedan - TSI COM PLUS Super Car King Easy Loan 1 Year Warranty,RM 778 / month,"RM 59,999",Volkswagen Passat,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2019 Lexus NX300 2.0 F Sport SUV - New Facelift UNREGISTER Panoramic Roof Grade 4.5 Mileage 14k Only Power Boot Red Interior 5Yrs Warranty Special Blue,"RM 2,710 / month","RM 209,000",Lexus NX300,10 - 15K KM,Automatic,"Kuala Lumpur, Cheras"
2019 Honda CR-V 1.5 TC VTEC SUV - (FreeWarranty)(FreeSiapTkrNama)(Tahun Dibuat )( AWD 4WD)(PushStart)(PowerLeatherSeats)(ReverseCam)(CruiseControl)(1Owner),"RM 1,385 / month","RM 106,800",Honda CR-V,85 - 90K KM,Automatic,"Selangor, Banting"
2018 Mazda CX-5 2.0 SKYACTIV-G GLS SUV - Warranty 1 Year,"RM 1,255 / month","RM 96,800",Mazda CX-5,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2018 Volkswagen Beetle 1.2 TSI Sport Coupe - The TRUSTED DEALER NO HIDDEN COST TRUE YEAR MADE,"RM 1,294 / month","RM 99,800",Volkswagen Beetle,75 - 80K KM,Automatic,"Johor, Johor Bahru"
2014 Volkswagen Beetle 1.2 TSI Sport Coupe - The TRUSTED DEALER NO HIDDEN FEE TRUE YEAR MADE,RM 776 / month,"RM 59,888",Volkswagen Beetle,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2016/2019 Lexus LX570 5.7 SUV - AWD (A) GUARANTEE No Accident No Total Lost No Flood 5 Day Money back Guarantee,"RM 5,041 / month","RM 388,800",N/A,60 - 65K KM,Automatic,"Kuala Lumpur, Setapak"
2012 Volkswagen Golf 2.0 GTi Hatchback - (A) 1 YEAR WARRANTY,RM 723 / month,"RM 55,800",Volkswagen Golf,125 - 130K KM,Automatic,"Penang, Ayer Itam"
"2015 Nissan Teana 2.0 XE Sedan - YEAR END SALE, OFFER CAR KING, UPGRADED SOUND SYSTEM, MUST VIEW",RM 596 / month,"RM 45,999",Nissan Teana,90 - 95K KM,Automatic,"Selangor, Puchong"
"2013 Toyota Vios 1.5 G Sedan - NEW YEAR OFFER FACELIFT, KEYLESS PUSH START, FULL CAR LEATHER SEAT",RM 493 / month,"RM 37,999",Toyota Vios,90 - 95K KM,Automatic,"Selangor, Puchong"
"2017 Perodua AXIA 1.0 G Hatchback - YEAR END SALE, OFFER KAW KAW, WARRANTY ADA",RM 350 / month,"RM 26,999",Perodua AXIA,70 - 75K KM,Automatic,"Selangor, Puchong"
"2017 BMW 118i 1.5 Sport Hatchback - , TIPTOP CONDITION, LADY OWNER, WARRANTY PROVIDED",RM 907 / month,"RM 69,999",BMW 118i,75 - 80K KM,Automatic,"Selangor, Puchong"
"2018 Honda BR-V 1.5 V i-VTEC SUV - V-SPEC ,CRYSTAL WHITE IN COLOUR,REVERSE CAMERA,PUSH START,FULL LEATHER SEAT,ONE OF DATO OWNER",RM 697 / month,"RM 53,800",Honda BR-V,95 - 100K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2016 Honda CR-V 2.4 i-VTEC SUV - L AUTO (FACELIFT),RM 853 / month,"RM 65,800",Honda CR-V,80 - 85K KM,Automatic,"Selangor, Petaling Jaya"
2015 Mazda CX-5 2.0 SKYACTIV-G GL SUV,RM 723 / month,"RM 55,800",Mazda CX-5,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
"2016 Honda Jazz 1.5 S i-VTEC Hatchback - BODYKITS CANTIL, NICE SPORT RIMS CAR KING OFFER 1 OWNER",RM 609 / month,"RM 46,999",Honda Jazz,70 - 75K KM,Automatic,"Selangor, Puchong"
2014 Volkswagen Golf 2.0 GTi Hatchback - REVO STAGE 2 AP RACING,"RM 1,242 / month","RM 95,800",Volkswagen Golf,130 - 135K KM,Automatic,"Perak, Ipoh"
2016 Perodua Alza 1.5 SE MPV - (M) WARRANTY 1 YEAR - CAN VERY VERY HIGH LOAN - 1 OWNER - GOOD CONDTION,RM 334 / month,"RM 25,800",Perodua Alza,90 - 95K KM,Manual,"Kuala Lumpur, Batu Caves / Selayang"
2014 Volkswagen Beetle 1.2 TSI Sport Coupe - The PACK,RM 827 / month,"RM 63,800",Volkswagen Beetle,105 - 110K KM,Automatic,"Penang, Sungai Nibong"
2017 Nissan X-Trail 2.0 SUV - (A) FULL SPEC - FULL SERVICE RECORD - WARRANTY 1 YEAR - LEATHER SEAT - 360 CAMERA - PUSH START BUTTON - KEYLESS ENTRY - 1 OWNER,RM 620 / month,"RM 47,800",Nissan X-Trail,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2014/2015 Toyota Corolla Altis 1.8 E Sedan - (FreeWarranty)(FreeSiapTkrNama)(ThnDibuat Reg2015)( Dual VVT-i)(SILVER)(FullBodykits)(SportRims)(PushStart)(7Speed),RM 633 / month,"RM 48,800",Toyota Corolla Altis,102500 KM,Automatic,"Selangor, Banting"
2020 Lexus NX300 2.0 F Sport SUV - Sunroof Perfect Condition Nego Till Let go,"RM 2,891 / month","RM 223,000",Lexus NX300,40 - 45K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Mitsubishi Outlander 2.4 SUV - Super Car King Full Service Record,"RM 1,296 / month","RM 99,999",Mitsubishi Outlander,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2015 Nissan Grand Livina 1.6 Comfort MPV - Impul Bodykits Full Leather Seats 1 Year Warranty,RM 428 / month,"RM 32,999",Nissan Grand Livina,75 - 80K KM,Automatic,"Johor, Johor Bahru"
2019 Proton X70 1.8 TGDI Executive SUV - L Car King Full Service Record,RM 778 / month,"RM 59,999",Proton X70,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2014 Inokom Elantra 1.6 Sedan - HYUNDAI (A) WARRANTY 1 YEAR - ALL PROBLEM CAN APPLY LOAN HERE - SEMUA MASALAH BOLEH BUAT LOAN KEDAI SINI,RM 296 / month,"RM 22,800",N/A,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2016 Honda CR-V 2.4 i-VTEC SUV - L AUTO (NEW FACELIFT),RM 853 / month,"RM 65,800",Honda CR-V,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
2013 Perodua Myvi 1.5 SE Hatchback - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( Auto)(One Lady Owner)(Special Edition)(Black),RM 354 / month,"RM 27,300",Perodua Myvi,120 - 125K KM,Automatic,"Selangor, Banting"
2015 BMW 220i 2.0 Gran Tourer MPV - (A) Full Service Record Original Mileage 60K-MiL 7 Seater,RM 827 / month,"RM 63,800",N/A,60 - 65K KM,Automatic,"Selangor, Serdang"
"2019 Peugeot 2008 1.2 PureTech SUV - , NEW FACELIFT , ORIGINAL PAINT ,YEAR MAKE",RM 570 / month,"RM 43,999",Peugeot 2008,60 - 65K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
2017 Kia Sorento 2.4 HS SUV - HIGH SPEC (A) MPV Power Boot Super Car King Tip Top,RM 907 / month,"RM 69,999",Kia Sorento,50 - 55K KM,Automatic,"Johor, Johor Bahru"
2017 Toyota Hilux 2.8 G Pickup Truck,"RM 1,164 / month","RM 89,800",Toyota Hilux,90 - 95K KM,Automatic,"Selangor, Telok Panglima Garang"
"2018 Mercedes-Benz A250 2.0 AMG Line Hatchback - CBU IMPORT BARU, BIG SCREEN, SPORT SEAT, FULL SERVICE RECORD","RM 2,204 / month","RM 169,999",Mercedes-Benz A250,70 - 75K KM,Automatic,"Selangor, Puchong"
2021 Porsche 718 2.0 Boxster Convertible - PDLS PLUS BOSE SOUND SPORT CHRONO REVERSE CAMERA 20 ALLOY WHEEL GENUINE MILEAGE UNREGISTERED,"RM 6,327 / month","RM 488,000",Porsche 718,0 - 5K KM,Automatic,"Kuala Lumpur, Mont Kiara"
2018 BMW X1 2.0 sDrive20i Sport Line SUV - (A) New Facelift 7 Speed Full Service Record 67k-MiL,"RM 1,164 / month","RM 89,800",BMW X1,65 - 70K KM,Automatic,"Selangor, Serdang"
2018 Perodua Bezza 1.3 X Premium Sedan - (A) Push Start 3 Year Warranty,RM 425 / month,"RM 32,800",Perodua Bezza,55 - 60K KM,Automatic,"Kuala Lumpur, Pandan Perdana"
2019 Porsche Macan 2.0 SUV - Rear Camera Power Boot Local AP Unreg,"RM 3,617 / month","RM 279,000",Porsche Macan,20 - 25K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Toyota Land Cruiser Prado 2.7 TX L SUV - ( 1 YEAR WARRANTY 360 SURROUND CAMERA DUAL ELECTRIC SEAT SUNROOF) 2015,"RM 1,943 / month","RM 149,888",Toyota Land Cruiser Prado,90 - 95K KM,Automatic,"Selangor, Klang"
2017 Subaru Forester 2.0 P SUV - FULL SPEC 4WD CHEAPEST,RM 648 / month,"RM 49,999",Subaru Forester,70 - 75K KM,Automatic,"Johor, Skudai"
2018 Isuzu D-Max 2.5 Premium Dual Cab Pickup Truck - (M) SINGLE CAb 4X4 NEW FACELIFT,RM 775 / month,"RM 59,800",Isuzu D-Max,55 - 60K KM,Manual,"Selangor, Serdang"
2015 Mercedes-Benz GLA250 2.0 4MATIC SUV - TRUE PREMIUM FACELIFT PREMIUM WARRANTY,"RM 1,295 / month","RM 99,888",Mercedes-Benz GLA250,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2019/2020 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV - (A) 4MATIC AMG Coupe Full Service Record,"RM 3,499 / month","RM 269,900",Mercedes-Benz GLC300,30 - 35K KM,Automatic,"Selangor, Serdang"
2015 Volkswagen Polo 1.6 Sedan - (A) LOW MIL 29K FSR VOLSWAGEN LECTURER OWNER-WELL MAINTAIN CAR CARLIST QUALIFIED CONDITION LIKE NEW WAIT NO MORE,RM 425 / month,"RM 32,800",Volkswagen Polo,25 - 30K KM,Automatic,"Selangor, Kajang"
2015/2016 Volkswagen Jetta 1.4 TSI Sedan - TRUSTED DEALER NO HIDDEN FEE TRUE YEAR MADE,RM 439 / month,"RM 33,888",Volkswagen Jetta,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2015 Audi A3 1.4 TFSI Sedan - (A) S-Line Sport Super Car King 3 Years Warranty,RM 713 / month,"RM 54,999",Audi A3,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2014 Volvo V40 2.0 T5 Hatchback - SPORTS EDITION Super Car King 3 Years Warranty,RM 596 / month,"RM 45,999",Volvo V40,65 - 70K KM,Automatic,"Johor, Johor Bahru"
"2016 Honda HR-V 1.8 i-VTEC E SUV - UPGRADE ANDROID WITH 360 SURROUND CAMERA, CAR KING OFFER",RM 778 / month,"RM 59,999",Honda HR-V,80 - 85K KM,Automatic,"Selangor, Puchong"
"2015 Toyota Vellfire 2.4 Z MPV - GOLDEN EYE , REG15, RED LEATHER SPORT, 3 WAY SOUND SYSTEM, 360 CAMERA, NEW SPORT RIM, FACELIFT, TIPTOP CONDITION","RM 1,426 / month","RM 109,999",Toyota Vellfire,110 - 115K KM,Automatic,"Selangor, Puchong"
2018/2021 Porsche 718 2.0 Cayman Coupe - MUST VIEW,"RM 5,160 / month","RM 398,000",Porsche 718,35 - 40K KM,Automatic,"Selangor, Kajang"
"2017 Perodua AXIA 1.0 SE Hatchback - KEYLESS PUSH START, ANDROID PLAYER OFFER",RM 376 / month,"RM 28,999",Perodua AXIA,60 - 65K KM,Automatic,"Selangor, Puchong"
2014 Mazda CX-5 2.0 SKYACTIV-G High Spec SUV - (A) CBU IMPORT BARU - SUNROOF - PUSH START KEYLESS - ELECTRICAL LEATHER SEAT - TOUCH SCREEN -REVERSE CAMERA,RM 568 / month,"RM 43,800",Mazda CX-5,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2017 Kia Sportage 2.0 GT Line SUV - (A) FULL SPEC - WARRANTY 1 YEAR - PUSH START BUTTON - ELECTRICAL POWER LEATHER SEAT - ANDROID TOUCH SCREEN - 1 OWNER,RM 749 / month,"RM 57,800",Kia Sportage,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2014 BMW 730Li 3.0 Sedan - M-SPORT NEW-FACELIFT WTY2025 ,CRYSTAL BLACK IN COLOUR,PUSH START,FULL LEATHER SEAT,ONE DATO OWNER","RM 1,666 / month","RM 128,500",BMW 730Li,95 - 100K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2018 Honda City 1.5 V i-VTEC Sedan - (FreeWarranty)(FreeSiapTkrNama)(TahunDibuat )( )(WHITE)(1Owner)(CruiseControl)(SportRims)(Facelift)(PushStart)(LeatherSeats),RM 801 / month,"RM 61,800",Honda City,70 - 75K KM,Automatic,"Selangor, Banting"
2015 Honda Jazz 1.5 E i-VTEC Hatchback - (Percuma Warranty)(Percuma Siap Tukar Nama)(Tahun Dibuat )( Auto)(Lady Owner)(Warna Puteh)(Push Start),RM 620 / month,"RM 47,800",Honda Jazz,95 - 100K KM,Automatic,"Selangor, Banting"
2018 Lexus LS500 3.4 Luxury Sedan - (CBU-IMPORT BARU) GUARANTEE No Accident No Total Lost No Flood 5 Day Money back Guarantee,"RM 6,207 / month","RM 478,800",N/A,45 - 50K KM,Automatic,"Kuala Lumpur, Setapak"
2016/2017 Lexus RX200t 2.0 F Sport SUV - (A) (CBU-IMPORT BARU) GUARANTEE No Accident No Total Lost No Flood 5 Day Money back Guarantee,"RM 2,577 / month","RM 198,800",Lexus RX200t,75 - 80K KM,Automatic,"Kuala Lumpur, Setapak"
"2015/2018 Mercedes-Benz E250 2.0 AMG Sport Coupe - , REG18, TIPTOP CONDITION, ONE CAREFUL OWNER ONLY, WARRANTY PROVIDED","RM 1,789 / month","RM 137,999",Mercedes-Benz E250,85 - 90K KM,Automatic,"Selangor, Puchong"
"2018 Mercedes-Benz A250 2.0 AMG Line Hatchback - AMG (CBU), FULL SERVICE RECORD, FACELIFT, ONE OWNER ONLY, 2 DIGIT NUMBER PLATE","RM 2,204 / month","RM 169,999",Mercedes-Benz A250,70 - 75K KM,Automatic,"Selangor, Puchong"
"2017/2018 Mazda 2 1.5 SKYACTIV-G Sedan - , REG18, ONE OWNER ONLY, GENUINE LOW MILEAGE, WARRANTY PROVIDED",RM 648 / month,"RM 49,999",Mazda 2,80 - 85K KM,Automatic,"Selangor, Puchong"
"2018 Honda City 1.5 Hybrid Sedan - YEAR END SALE OFFER PADDLE SHIFTERS, CAR KING",RM 648 / month,"RM 49,999",Honda City,45 - 50K KM,Automatic,"Selangor, Puchong"
"2014 Toyota Vios 1.5 E Sedan - FULL SERVICE RECORD 1 OWNER, CAR KING OFFER",RM 519 / month,"RM 39,999",Toyota Vios,70 - 75K KM,Automatic,"Selangor, Puchong"
"2016 Honda City 1.5 E i-VTEC Sedan - NEW YEAR SALE , PROMOSI KAW KAW, FULL SERVICE RECORD CAR OFFER NEGO SAMPAI JADI",RM 622 / month,"RM 47,999",Honda City,60 - 65K KM,Automatic,"Selangor, Puchong"
"2015 Toyota Vios 1.5 G Sedan - , ALL BLACK LEATHER SEAT, KELI, TIP TOP CONDITION, MERDEKA SALE, NEGO SAMPAI JADI, OFFER",RM 609 / month,"RM 46,999",Toyota Vios,80 - 85K KM,Automatic,"Selangor, Puchong"
"2021 Lexus RX300 2.0 F Sport SUV - BEST BUY , Mark Levinson Sound System, Sunroof, Black Interior, 360 Camera, HUD, Seat Ventilation and MORE","RM 4,512 / month","RM 348,000",N/A,25 - 30K KM,Automatic,"Selangor, Shah Alam"
"2022 Toyota Land Cruiser 3.3 GR Sport SUV - VALUE BUY , Black Red GR Interior, JBL, Sunroof, Cool Box, 3 Differential Locks, 360 Camera and MORE","RM 7,195 / month","RM 555,000",Toyota Land Cruiser,10 - 15K KM,Automatic,"Selangor, Shah Alam"
2017 Honda City 1.5 V i-VTEC Sedan - Facelift (Year End Sales) (Cheapest in town) (tip-top condition) (original mileage),RM 814 / month,"RM 62,800",Honda City,60 - 65K KM,Automatic,"Johor, Kulai"
2017 Subaru XV 2.0 P SUV - i-P (A) WARRANTY 1 YEAR - FULL SPEC - PUSH START KEYLESS - PADDLE SHIFT - ELECTRICAL LEATHER SEAT - TOUCH SCREEN - REVERSE CAMERA,RM 594 / month,"RM 45,800",Subaru XV,75 - 80K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2018 MINI Countryman 2.0 Cooper S Sports SUV - JCW KIT (FULL SERVICE RECORD 26KM DONE) 2019,"RM 2,073 / month","RM 159,888",MINI Countryman,25 - 30K KM,Automatic,"Selangor, Klang"
2022 Land Rover Range Rover 3.0 P400 Vogue SUV - Petrol Turbocharged Like New See You Believe It Mileage 500 miles High Spec Unregistered,"RM 14,650 / month","RM 1,130,000",N/A,0 - 5K KM,Automatic,"Kuala Lumpur, Mont Kiara"
2013 Perodua Myvi 1.3 SE Hatchback - mileage 77k,RM 309 / month,"RM 23,800",Perodua Myvi,75 - 80K KM,Automatic,"Penang, Greenlane"
2017 Subaru XV 2.0 P SUV - I-P (A) Facelift,RM 736 / month,"RM 56,800",Subaru XV,90 - 95K KM,Automatic,"Johor, Johor Bahru"
"2015 Hyundai Elantra 1.6 Premium Sedan - HIGH SPEC , KEYLESS PUSH START , FULL LEATHER SEAT",RM 350 / month,"RM 26,999",Hyundai Elantra,90 - 95K KM,Automatic,"Selangor, Puchong"
"2018 Nissan X-Trail 2.0 SUV - ,HIGH SPEC,360 REVERSE CAMERA,ORI LOW MILEAGE F SERVICE RECORD",RM 778 / month,"RM 59,999",Nissan X-Trail,50 - 55K KM,Automatic,"Selangor, Puchong"
2020 Toyota Harrier 2.0 SUV - Z LEATHER 360 CAMERA DIM BSM JBL SOUND SYSTEM POWER BOOT 19 SPORT WHEEL,"RM 2,450 / month","RM 189,000",Toyota Harrier,45 - 50K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Honda CR-V 2.0 i-VTEC SUV,RM 827 / month,"RM 63,800",Honda CR-V,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2016 Mercedes-Benz C250 2.0 AMG Sedan - (A),"RM 1,932 / month","RM 149,000",Mercedes-Benz C250,60 - 65K KM,Automatic,"Penang, Greenlane"
2017 Hyundai Ioniq 1.6 Hybrid BlueDrive HEV Plus Hatchback - HEV PLUS (A) Car King Easy Loan 1 Malaysia Warranty,RM 596 / month,"RM 45,999",Hyundai Ioniq,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2017 Ford MUSTANG 2.3 Coupe - ECOBOOST (A),"RM 2,580 / month","RM 199,000",Ford MUSTANG,50 - 55K KM,Automatic,"Penang, Greenlane"
"2013 BMW 520i 2.0 Sedan - TWIN TURBO (A) HIGH SPEC, 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT",RM 882 / month,"RM 68,000",BMW 520i,90 - 95K KM,Automatic,"Penang, Greenlane"
2020 Perodua Myvi 1.5 H Hatchback - (Percuma Warranty)(Percuma Siap Tukar Nama)(Tahun Dibuat )( GearUp Auto)(One Lady Owner)(Built-in SmartTag)(Push Start)(Grey),RM 594 / month,"RM 45,800",Perodua Myvi,90 - 95K KM,Automatic,"Selangor, Banting"
"2015 Mercedes-Benz CLA200 1.6 Sedan - MERCEDES BENZ AMG WTY 2024 , CRYSTAL WHITE IN COLOUR, FULL LEATHER SEAT, REVERSE CAMERA, ONE OF DATIN OWNER","RM 1,407 / month","RM 108,500",Mercedes-Benz CLA200,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2013 Honda Accord 2.0 i-VTEC VTi-L Sedan - AUTO (WARRANTY 1YEAR PROVIDED),RM 633 / month,"RM 48,800",Honda Accord,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2019 Land Rover Range Rover 3.0 SDV6 Vogue SUV - MatrixLight Warranty,"RM 6,867 / month","RM 529,686",N/A,20 - 25K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2016 BMW 520i 2.0 M Sport Sedan,"RM 1,426 / month","RM 109,999",BMW 520i,70 - 75K KM,Automatic,"Johor, Johor Bahru"
"2016/2020 Land Rover Range Rover Evoque 2.0 Si4 SE SUV - Si4 DYNAMIC , REG20, ONE OWNER ONLY, LIKE RECON CONDITION, WARRANTY PROVIDED","RM 1,426 / month","RM 109,999",Land Rover Range Rover Evoque,80 - 85K KM,Automatic,"Selangor, Puchong"
2015 Toyota Harrier 2.0 Premium Advanced SUV - MAUVE FULL SPEC (PRE CRASH LANE KEEPING ASSIST PANOMARIC ROOF POWER BOOT JBL SOUND SYSTEM) 2016,"RM 1,684 / month","RM 129,888",Toyota Harrier,75 - 80K KM,Automatic,"Selangor, Klang"
"2020 Honda Civic 1.5 TC VTEC Premium Sedan - YEAR END SALE, OFFER , CAR KING, NICE BODYKITS, NEGO SAMPAI JADI","RM 1,452 / month","RM 111,999",Honda Civic,40 - 45K KM,Automatic,"Selangor, Puchong"
2013 Nissan Almera 1.5 VL Sedan - (Full Spec),RM 285 / month,"RM 22,000",Nissan Almera,115 - 120K KM,Automatic,"Penang, Perai"
2015 Perodua Alza 1.5 SE MPV - (Registed 2016),RM 441 / month,"RM 34,000",Perodua Alza,160 - 165K KM,Automatic,"Penang, Perai"
2018 Toyota Vios 1.5 E Sedan - (Percuma Warranty)(Percuma Siap Tukar Nama)(Tahun Dibuat )( Auto)(Android Player)(360 Camera)(Push Start)(Warna Hitam),RM 736 / month,"RM 56,800",Toyota Vios,70 - 75K KM,Automatic,"Selangor, Banting"
2016 Mitsubishi Triton 2.4 VGT Dual Cab Pickup Truck - 2.5 (A) 4X4 MIVEC VGT 6SPEED PUSH START,RM 840 / month,"RM 64,800",Mitsubishi Triton,65 - 70K KM,Automatic,"Selangor, Serdang"
2019 Ford Ranger 2.0 Raptor High Rider Dual Cab Pickup Truck - Raptor High Rider (A) GUARANTEE No Accident No Total Lost No Flood 5 Day Money back Guarantee,"RM 1,929 / month","RM 148,800",Ford Ranger,50 - 55K KM,Automatic,"Kuala Lumpur, Cheras"
"2016 Toyota Harrier 2.0 Premium Advanced SUV - MODELLISTA WTY 2024 ,CRYSTAL BLACK IN COLOUR,ELECTRIC SEAT,REVERSE CAMERA,ONE DATO OWNER","RM 1,501 / month","RM 115,800",Toyota Harrier,90 - 95K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2015 Honda Jazz 1.5 V i-VTEC Hatchback - Convert RS (MALAYSIA DAY OFFER) (High Loan) (Low Downpayment) (Fast Delivery) ( RS) (Easy Loan Approval),RM 804 / month,"RM 62,000",Honda Jazz,70 - 75K KM,Automatic,"Johor, Johor Bahru"
"2015 Land Rover Range Rover 5.0 Supercharged Vogue SE SUV - VOGUE WTY 2024 ,CRYSTAL BLACK IN COLOUR,PANAROMIC ROOF,TOUCH SCREEN MONITOR,ONE OF DATO VIP OWNER","RM 3,351 / month","RM 258,500",N/A,90 - 95K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2015 Honda CR-V 2.0 i-VTEC SUV - NEW FACELIFT MODULO BODYKIT FULL SERVICE RECORD,RM 778 / month,"RM 59,999",Honda CR-V,85 - 90K KM,Automatic,"Selangor, Puchong"
2017 Mercedes-Benz GLA250 2.0 4MATIC AMG Line SUV - 4MATIC AMG (FULL SERVICE RECORD 39K KM DONE with 1 year warranty) 2018,"RM 1,891 / month","RM 145,888",Mercedes-Benz GLA250,35 - 40K KM,Automatic,"Selangor, Klang"
"2017/2019 Ford MUSTANG 2.3 Coupe - YEAR END SALES MILEAGE 45K 1 OWNER, FASTBACK, NICE NUMBER PLATE, FOC WARRANTY, NEGO SAMPAI JADI","RM 2,372 / month","RM 182,999",Ford MUSTANG,40 - 45K KM,Automatic,"Selangor, Puchong"
2014 Toyota Vios 1.5 G Sedan - (FreeWarranty)(FreeSiapTkrNama)(Tahun Dibuat )( )(WHITE)(Full Bodykits)(Facelift)(SportRims)(PushStart)(LeatherSeats)(VVT-i),RM 581 / month,"RM 44,800",Toyota Vios,95 - 100K KM,Automatic,"Selangor, Banting"
2020 Ford Ranger 2.0 XLT+ High Rider Dual Cab Pickup Truck - (A) XLT XLT Limited Plus New Facelift 10 Speed High Rider,"RM 1,035 / month","RM 79,800",Ford Ranger,70 - 75K KM,Automatic,"Selangor, Serdang"
2014 Hyundai Sonata 2.0 Executive Sedan - (A) WARRANTY 1 YEAR - FULL SPEC - SUNROOF - LEATHER SEAT - PUSH START KEYLESS - TOUCH SCREEN - REVERSE CAMERA,RM 594 / month,"RM 45,800",Hyundai Sonata,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2014 Porsche Boxster 2.7 Convertible - (A) 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT,"RM 3,215 / month","RM 248,000",Porsche Boxster,25 - 30K KM,Automatic,"Penang, Greenlane"
2015 Proton Iriz 1.6 Executive Hatchback - (A) TOUCH SCREEN - REVERSE CAMERA - FULL BODYKIT - SPORTRIM - ALL PROBLEM CAN APPLY LOAN HERE - SEMUA MASALAH BOLEH LOAN KEDAI,RM 257 / month,"RM 19,800",Proton Iriz,90 - 95K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2013 BMW 428i 2.0 Sport Line Coupe - FULL SERVICE RECORD 2 DOORS, NEGO SAMPAI JADI OFFER","RM 1,206 / month","RM 92,999",BMW 428i,120 - 125K KM,Automatic,"Selangor, Puchong"
"2016 Honda HR-V 1.8 i-VTEC E SUV - , FULL CAR BLACK BODYKITS, FULL CAR LEATHER , ANDROID PLAYER, HD REVERSE CAMERA, KEYLESS PUSH START , WARRANTY PROVIDE",RM 778 / month,"RM 59,999",Honda HR-V,70 - 75K KM,Automatic,"Selangor, Puchong"
2018 BMW X1 2.0 sDrive20i Sport Line SUV - sDrive20i Sport APPROVED USED CAR,"RM 1,517 / month","RM 117,000",BMW X1,88300 KM,Automatic,"Kuala Lumpur, TTDI"
"2013 Perodua Myvi 1.3 EZ Hatchback - SERVICE RECORD 1 OWNER, CAR KING, OFFER , NEGO SAMPAI JADI",RM 285 / month,"RM 21,999",Perodua Myvi,95 - 100K KM,Automatic,"Selangor, Puchong"
"2018 BMW X3 2.0 xDrive30i Luxury SUV - , FULL SERVICE , KING, POWER BOOT, MERDEKA SALES, NEGO SAMPAI JADI, OFFER MURAH","RM 1,945 / month","RM 149,999",BMW X3,85 - 90K KM,Automatic,"Selangor, Puchong"
"2013 Volkswagen Beetle 1.2 TSI Coupe - , 1 LADY OWNER, TIP TOP CONDITION, WARRANTY PROVIDED, PADDLE SHIFTERS, NEGO SAMPAI JADI, MERDEKA SALE",RM 726 / month,"RM 55,999",Volkswagen Beetle,80 - 85K KM,Automatic,"Selangor, Puchong"
